parameter,value,npv_eur,method
capex_multiplier,0.8,-49047460.04258774,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.0,-60422983.5631907,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.2,-71798507.08379366,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,0.8,-60092666.46502817,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.0,-60422983.5631907,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.2,-60753300.66135322,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,0.7,-59745405.602144375,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.0,-60422983.5631907,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.3,-61100561.524237014,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.04,-60726754.26690956,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.07,-60422983.5631907,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.1,-60147414.72682225,fixed_dispatch_and_replacement_schedule_financial_revaluation
