parameter,value,npv_eur,method
capex_multiplier,0.8,-127091627.45656233,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.0,-155218773.0617235,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.2,-183345918.66688472,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,0.8,-153162012.54139876,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.0,-155218773.0617235,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.2,-157275533.58204824,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,0.7,-153079029.3259999,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.0,-155218773.0617235,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.3,-157358516.7974472,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.04,-175021334.21735793,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.07,-155218773.0617235,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.1,-142017011.2326989,fixed_dispatch_and_replacement_schedule_financial_revaluation
