parameter,value,npv_eur,method
capex_multiplier,0.8,-101328108.45747131,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.0,-123543914.57321599,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.2,-145759720.68896067,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,0.8,-121699829.4898287,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.0,-123543914.57321599,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.2,-125387999.65660323,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,0.7,-121896718.23882747,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.0,-123543914.57321599,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.3,-125191110.9076045,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.04,-138416155.54531077,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.07,-123543914.57321599,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.1,-113435792.0364872,fixed_dispatch_and_replacement_schedule_financial_revaluation
