parameter,value,npv_eur,method
capex_multiplier,0.8,-67822395.30961913,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.0,-82506822.80749533,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.2,-97191250.30537155,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,0.8,-81236527.51111229,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.0,-82506822.80749533,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.2,-83777118.1038784,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,0.7,-81245050.03504421,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.0,-82506822.80749533,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.3,-83768595.57994647,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.04,-92797511.00350414,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.07,-82506822.80749533,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.1,-75513870.11317441,fixed_dispatch_and_replacement_schedule_financial_revaluation
