parameter,value,npv_eur,method
capex_multiplier,0.8,-33813906.432247624,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.0,-41129703.0863509,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.2,-48445499.74045419,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,0.8,-40557383.57098566,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.0,-41129703.0863509,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.2,-41702022.60171616,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,0.7,-40406868.387816615,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.0,-41129703.0863509,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.3,-41852537.78488521,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.04,-46186881.37987461,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.07,-41129703.0863509,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.1,-37633466.86593182,fixed_dispatch_and_replacement_schedule_financial_revaluation
