parameter,value,npv_eur,method
capex_multiplier,0.8,-95919775.29324488,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.0,-117046342.01293981,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.2,-138172908.73263472,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,0.8,-115482286.24003933,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.0,-117046342.01293981,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.2,-118610397.78584024,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,0.7,-115329693.13538328,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.0,-117046342.01293981,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.3,-118762990.89049628,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.04,-132030879.45599964,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.07,-117046342.01293981,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.1,-107053057.3155879,fixed_dispatch_and_replacement_schedule_financial_revaluation
