parameter,value,npv_eur,method
capex_multiplier,0.8,-44930854.68816722,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.0,-65364040.3592008,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.2,-85797226.0302344,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,0.8,-64189116.061784156,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.0,-65364040.3592008,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.2,-66538964.656617455,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,0.7,-77970405.68922868,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.0,-65364040.3592008,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.3,-52757675.029172905,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.04,-63434772.58881811,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.07,-65364040.3592008,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.1,-67125671.45595422,fixed_dispatch_and_replacement_schedule_financial_revaluation
