parameter,value,npv_eur,method
capex_multiplier,0.8,-23710016.98129551,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.0,-29178369.534226306,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.2,-34646722.0871571,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,0.8,-29020010.541700866,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.0,-29178369.534226306,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.2,-29336728.52675174,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,0.7,-28812315.01624233,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.0,-29178369.534226306,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.3,-29544424.05221028,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.04,-29332477.372696996,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.07,-29178369.534226306,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.1,-29038545.690760534,fixed_dispatch_and_replacement_schedule_financial_revaluation
