parameter,value,npv_eur,method
capex_multiplier,0.8,-75946475.46840452,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.0,-92444917.00939502,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.2,-108943358.55038555,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,0.8,-91068173.97844076,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.0,-92444917.00939502,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.2,-93821660.04034929,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,0.7,-91029665.86625032,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.0,-92444917.00939502,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.3,-93860168.15253976,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.04,-103392836.72334422,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.07,-92444917.00939502,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.1,-84878020.2709866,fixed_dispatch_and_replacement_schedule_financial_revaluation
