case_id,source_file,parameter,value,npv_eur,method,physical_dispatch_rerun,q6_status_effect_included
bess_0f03f4b792,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_economic_downsizing_168h_20260910/cases/bess_0f03f4b792/financial_sensitivity.csv,capex_multiplier,0.8,-129414579.28456096,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_0f03f4b792,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_economic_downsizing_168h_20260910/cases/bess_0f03f4b792/financial_sensitivity.csv,capex_multiplier,1.0,-157909623.83724087,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_0f03f4b792,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_economic_downsizing_168h_20260910/cases/bess_0f03f4b792/financial_sensitivity.csv,capex_multiplier,1.2,-186404668.38992077,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_0f03f4b792,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_economic_downsizing_168h_20260910/cases/bess_0f03f4b792/financial_sensitivity.csv,om_multiplier,0.8,-155842578.47887406,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_0f03f4b792,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_economic_downsizing_168h_20260910/cases/bess_0f03f4b792/financial_sensitivity.csv,om_multiplier,1.0,-157909623.83724087,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_0f03f4b792,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_economic_downsizing_168h_20260910/cases/bess_0f03f4b792/financial_sensitivity.csv,om_multiplier,1.2,-159976669.19560772,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_0f03f4b792,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_economic_downsizing_168h_20260910/cases/bess_0f03f4b792/financial_sensitivity.csv,energy_settlement_multiplier,0.7,-155529900.54720303,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_0f03f4b792,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_economic_downsizing_168h_20260910/cases/bess_0f03f4b792/financial_sensitivity.csv,energy_settlement_multiplier,1.0,-157909623.83724087,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_0f03f4b792,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_economic_downsizing_168h_20260910/cases/bess_0f03f4b792/financial_sensitivity.csv,energy_settlement_multiplier,1.3,-160289347.1272787,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_0f03f4b792,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_economic_downsizing_168h_20260910/cases/bess_0f03f4b792/financial_sensitivity.csv,real_discount_rate,0.04,-177674675.0634511,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_0f03f4b792,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_economic_downsizing_168h_20260910/cases/bess_0f03f4b792/financial_sensitivity.csv,real_discount_rate,0.07,-157909623.83724087,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_0f03f4b792,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_economic_downsizing_168h_20260910/cases/bess_0f03f4b792/financial_sensitivity.csv,real_discount_rate,0.1,-144488326.7941113,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_57f6d83931,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_economic_downsizing_168h_20260910/cases/bess_57f6d83931/financial_sensitivity.csv,capex_multiplier,0.8,-97539159.8757562,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_57f6d83931,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_economic_downsizing_168h_20260910/cases/bess_57f6d83931/financial_sensitivity.csv,capex_multiplier,1.0,-118941650.80609012,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_57f6d83931,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_economic_downsizing_168h_20260910/cases/bess_57f6d83931/financial_sensitivity.csv,capex_multiplier,1.2,-140344141.73642406,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_57f6d83931,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_economic_downsizing_168h_20260910/cases/bess_57f6d83931/financial_sensitivity.csv,om_multiplier,0.8,-117371365.24841172,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_57f6d83931,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_economic_downsizing_168h_20260910/cases/bess_57f6d83931/financial_sensitivity.csv,om_multiplier,1.0,-118941650.80609012,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_57f6d83931,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_economic_downsizing_168h_20260910/cases/bess_57f6d83931/financial_sensitivity.csv,om_multiplier,1.2,-120511936.36376858,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
bess_57f6d83931,/workspaces/tpsa-grid-hackathon-2026/results/problem_3_1/question_4_economic_downsizing_168h_20260910/cases/bess_57f6d83931/financial_sensitivity.csv,energy_settlement_multiplier,0.7,-117079640.28371404,fixed_dispatch_and_replacement_schedule_financial_revaluation,False,False
