parameter,value,npv_eur,method
capex_multiplier,0.8,-74746176.8833493,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.0,-91041601.41703777,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.2,-107337025.95072621,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,0.8,-89669548.41964407,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.0,-91041601.41703777,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.2,-92413654.41443144,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,0.7,-89735784.39030626,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.0,-91041601.41703777,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.3,-92347418.44376923,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.04,-102060508.86040574,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.07,-91041601.41703777,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.1,-83550422.53598672,fixed_dispatch_and_replacement_schedule_financial_revaluation
