parameter,value,npv_eur,method
capex_multiplier,0.8,-67998476.34978576,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.0,-82682903.84766197,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.2,-97367331.34553817,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,0.8,-81410481.39777355,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.0,-82682903.84766197,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.2,-83955326.2975504,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,0.7,-81371497.49341889,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.0,-82682903.84766197,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.3,-83994310.20190503,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.04,-93026132.74928343,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.07,-82682903.84766197,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.1,-75653490.58118276,fixed_dispatch_and_replacement_schedule_financial_revaluation
