parameter,value,npv_eur,method
capex_multiplier,0.8,-33234913.640844997,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.0,-40452297.32648702,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.2,-47669681.012129046,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,0.8,-39882216.82891777,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.0,-40452297.32648702,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.2,-41022377.824056275,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,0.7,-39781706.37652602,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.0,-40452297.32648702,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.3,-41122888.27644803,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.04,-45542506.60518236,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.07,-40452297.32648702,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.1,-36993776.9778291,fixed_dispatch_and_replacement_schedule_financial_revaluation
