parameter,value,npv_eur,method
capex_multiplier,0.8,-11773642.114878494,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.0,-19548604.283757467,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.2,-27323566.45263644,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,0.8,-19023734.514084075,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.0,-19548604.283757467,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.2,-20073474.05343086,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,0.7,-26058968.058007732,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.0,-19548604.283757467,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.3,-13038240.509507196,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.04,-18509143.28897825,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.07,-19548604.283757467,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.1,-20497338.99263118,fixed_dispatch_and_replacement_schedule_financial_revaluation
