parameter,value,npv_eur,method
capex_multiplier,0.8,-65547054.30813636,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.0,-79856991.61612435,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.2,-94166928.92411232,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,0.8,-78784875.49058299,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.0,-79856991.61612435,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.2,-80929107.74166569,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,0.7,-78545585.26188128,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.0,-79856991.61612435,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.3,-81168397.97036742,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.04,-89909770.42629893,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.07,-79856991.61612435,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.1,-73028243.7873288,fixed_dispatch_and_replacement_schedule_financial_revaluation
