parameter,value,npv_eur,method
capex_multiplier,0.8,-129414579.28456096,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.0,-157909623.83724087,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.2,-186404668.38992074,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,0.8,-155842578.47887406,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.0,-157909623.83724087,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.2,-159976669.19560772,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,0.7,-155529900.54720303,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.0,-157909623.83724087,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.3,-160289347.1272787,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.04,-177674675.0634511,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.07,-157909623.83724087,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.1,-144488326.7941113,fixed_dispatch_and_replacement_schedule_financial_revaluation
