parameter,value,npv_eur,method
capex_multiplier,0.8,-101903897.54050098,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.0,-124119703.65624571,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.2,-146335509.77199045,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,0.8,-122268662.73158693,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.0,-124119703.65624571,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.2,-125970744.5809045,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,0.7,-122310204.35885555,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.0,-124119703.65624571,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.3,-125929202.95363587,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.04,-139157035.7493673,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.07,-124119703.65624571,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.1,-113896872.25588585,fixed_dispatch_and_replacement_schedule_financial_revaluation
