parameter,value,npv_eur,method
capex_multiplier,0.8,-77070767.85900189,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.0,-93740682.58257857,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.2,-110410597.30615528,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,0.8,-92169855.44821227,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.0,-93740682.58257857,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.2,-95311509.7169449,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,0.7,-92470616.59458447,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.0,-93740682.58257857,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.3,-95010748.57057272,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.04,-105014168.54353052,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.07,-93740682.58257857,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.1,-86073781.68790336,fixed_dispatch_and_replacement_schedule_financial_revaluation
