parameter,value,npv_eur,method
capex_multiplier,0.8,-65271012.546565086,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.0,-79580949.85455304,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.2,-93890887.16254105,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,0.8,-78512168.46170186,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.0,-79580949.85455304,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.2,-80649731.24740428,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,0.7,-78347353.92974618,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.0,-79580949.85455304,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.3,-80814545.7793599,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.04,-89554653.49139027,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.07,-79580949.85455304,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.1,-72807166.75084324,fixed_dispatch_and_replacement_schedule_financial_revaluation
