parameter,value,npv_eur,method
capex_multiplier,0.8,-103002140.4745575,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.0,-125467606.71689433,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.2,-147933072.9592312,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,0.8,-123489503.87467538,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.0,-125467606.71689433,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.2,-127445709.55911332,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,0.7,-123809205.49961029,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.0,-125467606.71689433,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.3,-127126007.9341784,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.04,-140544639.4418366,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.07,-125467606.71689433,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.1,-115217822.6054193,fixed_dispatch_and_replacement_schedule_financial_revaluation
