parameter,value,npv_eur,method
capex_multiplier,0.8,-103980274.75114685,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.0,-126570571.05677973,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.2,-149160867.3624127,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,0.8,-124523754.55069877,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.0,-126570571.05677973,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.2,-128617387.56286079,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,0.7,-124866789.09430337,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.0,-126570571.05677973,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.3,-128274353.01925617,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.04,-141780440.4229032,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.07,-126570571.05677973,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.1,-116228867.64995058,fixed_dispatch_and_replacement_schedule_financial_revaluation
