parameter,value,npv_eur,method
capex_multiplier,0.8,-66972705.84664464,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.0,-81532303.28122477,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.2,-96091900.71580493,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,0.8,-80329169.96639164,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.0,-81532303.28122477,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.2,-82735436.5960579,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,0.7,-80279705.33334975,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.0,-81532303.28122477,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.3,-82784901.22909983,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.04,-91718434.13488208,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.07,-81532303.28122477,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.1,-74611650.49211428,fixed_dispatch_and_replacement_schedule_financial_revaluation
