parameter,value,npv_eur,method
capex_multiplier,0.8,-66151950.9914818,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.0,-80586718.36276588,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.2,-95021485.73404993,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,0.8,-79450397.48388492,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.0,-80586718.36276588,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.2,-81723039.24164681,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,0.7,-79335139.17551997,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.0,-80586718.36276588,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.3,-81838297.55001172,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.04,-90675859.86825651,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.07,-80586718.36276588,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.1,-73733026.11419448,fixed_dispatch_and_replacement_schedule_financial_revaluation
