parameter,value,npv_eur,method
capex_multiplier,0.8,-97539159.8757562,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.0,-118941650.80609013,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.2,-140344141.73642406,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,0.8,-117371365.24841172,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.0,-118941650.80609013,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.2,-120511936.36376858,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,0.7,-117079640.28371403,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.0,-118941650.80609013,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.3,-120803661.32846627,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.04,-133865384.3249137,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.07,-118941650.80609013,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.1,-108806377.31423406,fixed_dispatch_and_replacement_schedule_financial_revaluation
