evidence_id,claim_id,question,data_class,description,source_file,source_sha256,row_locator,column_or_json_pointer,raw_value,display_value,unit,time_basis,generated_by_code,config_locator,validation,notes
EV-Q1-001,CLM-Q1-001,Q1,MODEL_DERIVED,Target branch static rating,results/problem_3_1/question_1_final/tables/02_line_constraint_and_rating_results.csv,de8fba25783161ed8ee0819419de70853cf176a8b9d7deb908eb1aa1bde558cb,"line == ""5041-17010-2""",rating_mva,210,210,MVA,168-hour North-West model,src/problem_3_1/constrained_lines.py::line_reinforcement_trials lines 198-245,,optimal dispatch and bidirectional loading calculation,
EV-Q1-002,CLM-Q1-001,Q1,MODEL_DERIVED,Regional binding hours,results/problem_3_1/question_1_final/tables/02_line_constraint_and_rating_results.csv,de8fba25783161ed8ee0819419de70853cf176a8b9d7deb908eb1aa1bde558cb,"line == ""5041-17010-2""",binding_hours,52,52,hours,168-hour North-West model,src/problem_3_1/constrained_lines.py::line_reinforcement_trials lines 198-245,,optimal dispatch and bidirectional loading calculation,
EV-Q1-003,CLM-Q1-001,Q1,MODEL_DERIVED,Regional hours at or above 90% loading,results/problem_3_1/question_1_final/tables/02_line_constraint_and_rating_results.csv,de8fba25783161ed8ee0819419de70853cf176a8b9d7deb908eb1aa1bde558cb,"line == ""5041-17010-2""",hours_at_or_above_90_pct,63,63,hours,168-hour North-West model,src/problem_3_1/constrained_lines.py::line_reinforcement_trials lines 198-245,,optimal dispatch and bidirectional loading calculation,
EV-Q1-004,CLM-Q1-001,Q1,MODEL_DERIVED,Regional mean loading,results/problem_3_1/question_1_final/tables/02_line_constraint_and_rating_results.csv,de8fba25783161ed8ee0819419de70853cf176a8b9d7deb908eb1aa1bde558cb,"line == ""5041-17010-2""",mean_loading_pct,61.8468741929,61.8468741929,%,168-hour North-West model,src/problem_3_1/constrained_lines.py::line_reinforcement_trials lines 198-245,,optimal dispatch and bidirectional loading calculation,
EV-Q1-005,CLM-Q1-001,Q1,MODEL_DERIVED,Regional maximum loading,results/problem_3_1/question_1_final/tables/02_line_constraint_and_rating_results.csv,de8fba25783161ed8ee0819419de70853cf176a8b9d7deb908eb1aa1bde558cb,"line == ""5041-17010-2""",max_loading_pct,100,100,%,168-hour North-West model,src/problem_3_1/constrained_lines.py::line_reinforcement_trials lines 198-245,,optimal dispatch and bidirectional loading calculation,
EV-Q1-006,CLM-Q1-001,Q1,MODEL_DERIVED,Rating after 25% uplift,results/problem_3_1/question_1_final/tables/02_line_constraint_and_rating_results.csv,de8fba25783161ed8ee0819419de70853cf176a8b9d7deb908eb1aa1bde558cb,"line == ""5041-17010-2""",new_rating_mva,262.5,262.5,MVA,168-hour North-West model,src/problem_3_1/constrained_lines.py::line_reinforcement_trials lines 198-245,,optimal dispatch and bidirectional loading calculation,
EV-Q1-007,CLM-Q1-001,Q1,MODEL_DERIVED,Dispatch-down after 25% uplift,results/problem_3_1/question_1_final/tables/02_line_constraint_and_rating_results.csv,de8fba25783161ed8ee0819419de70853cf176a8b9d7deb908eb1aa1bde558cb,"line == ""5041-17010-2""",dispatch_down_after_plus_25_mwh,3071.97637416,3071.97637416,MWh,168-hour North-West model,src/problem_3_1/constrained_lines.py::line_reinforcement_trials lines 198-245,,optimal dispatch and bidirectional loading calculation,
EV-Q1-008,CLM-Q1-001,Q1,MODEL_DERIVED,Dispatch-down saved by 25% uplift,results/problem_3_1/question_1_final/tables/02_line_constraint_and_rating_results.csv,de8fba25783161ed8ee0819419de70853cf176a8b9d7deb908eb1aa1bde558cb,"line == ""5041-17010-2""",saved_dispatch_down_plus_25_mwh,588.613898638,588.613898638,MWh,168-hour North-West model,src/problem_3_1/constrained_lines.py::line_reinforcement_trials lines 198-245,,optimal dispatch and bidirectional loading calculation,
EV-Q1-009,CLM-Q1-001,Q1,MODEL_DERIVED,Binding hours after 25% uplift,results/problem_3_1/question_1_final/tables/02_line_constraint_and_rating_results.csv,de8fba25783161ed8ee0819419de70853cf176a8b9d7deb908eb1aa1bde558cb,"line == ""5041-17010-2""",binding_hours_after_plus_25,17,17,hours,168-hour North-West model,src/problem_3_1/constrained_lines.py::line_reinforcement_trials lines 198-245,,optimal dispatch and bidirectional loading calculation,
EV-Q1-010,CLM-Q1-002,Q1,MODEL_DERIVED,All-island target-line binding hours,results/problem_3_1/question_1_final/tables/05_all_island_scope_robustness.csv,90030f596225d3049677585004618f9a0a8e0c7bb9142d1be4cb4dc81d1789c8,"line == ""5041-17010-2""",all_island_binding_hours,0,0,hours,168-hour all-island robustness run,src/problem_3_1/constrained_lines.py::line_reinforcement_trials lines 198-245,,,Scope differs from the regional boundary model
EV-Q1-011,CLM-Q1-002,Q1,MODEL_DERIVED,All-island target-line maximum loading,results/problem_3_1/question_1_final/tables/05_all_island_scope_robustness.csv,90030f596225d3049677585004618f9a0a8e0c7bb9142d1be4cb4dc81d1789c8,"line == ""5041-17010-2""",all_island_max_loading_pct,55.9090669042,55.9090669042,%,168-hour all-island robustness run,src/problem_3_1/constrained_lines.py::line_reinforcement_trials lines 198-245,,,Scope differs from the regional boundary model
EV-Q2-001,CLM-Q2-001,Q2,MODEL_DERIVED,Recommended site,results/problem_3_1/question_2_final/tables/10_recommendation_summary.csv,fcf2ef23e957a65c45d4aa51b9b223e7064d97819efecfa6a044c749e85a3baf,"recommendation_type == ""recommended_installed_capacity""",recommended_sites,Croaghonagh,Croaghonagh,bus/site,168-hour North-West model,src/problem_3_1/question_2_battery_siting_sizing.py::verify_lifetime_recommendation lines 902-914,Q2 lifetime_eol row; 10-90% SOC and 80% EOL SoH,"solve_ok, unserved_ok, benchmark_success and no simultaneous operation",
EV-Q2-002,CLM-Q2-001,Q2,MODEL_DERIVED,Recommended battery power,results/problem_3_1/question_2_final/tables/10_recommendation_summary.csv,fcf2ef23e957a65c45d4aa51b9b223e7064d97819efecfa6a044c749e85a3baf,"recommendation_type == ""recommended_installed_capacity""",power_mw,85,85,MW,168-hour North-West model,src/problem_3_1/question_2_battery_siting_sizing.py::verify_lifetime_recommendation lines 902-914,Q2 lifetime_eol row; 10-90% SOC and 80% EOL SoH,"solve_ok, unserved_ok, benchmark_success and no simultaneous operation",
EV-Q2-003,CLM-Q2-001,Q2,MODEL_DERIVED,Recommended nameplate energy,results/problem_3_1/question_2_final/tables/10_recommendation_summary.csv,fcf2ef23e957a65c45d4aa51b9b223e7064d97819efecfa6a044c749e85a3baf,"recommendation_type == ""recommended_installed_capacity""",nameplate_energy_mwh,310,310,MWh,168-hour North-West model,src/problem_3_1/question_2_battery_siting_sizing.py::verify_lifetime_recommendation lines 902-914,Q2 lifetime_eol row; 10-90% SOC and 80% EOL SoH,"solve_ok, unserved_ok, benchmark_success and no simultaneous operation",
EV-Q2-004,CLM-Q2-001,Q2,MODEL_DERIVED,End-of-life usable energy,results/problem_3_1/question_2_final/tables/10_recommendation_summary.csv,fcf2ef23e957a65c45d4aa51b9b223e7064d97819efecfa6a044c749e85a3baf,"recommendation_type == ""recommended_installed_capacity""",usable_energy_mwh,198.4,198.4,MWh,168-hour North-West model,src/problem_3_1/question_2_battery_siting_sizing.py::verify_lifetime_recommendation lines 902-914,Q2 lifetime_eol row; 10-90% SOC and 80% EOL SoH,"solve_ok, unserved_ok, benchmark_success and no simultaneous operation",
EV-Q2-005,CLM-Q2-001,Q2,MODEL_DERIVED,End-of-life state of health,results/problem_3_1/question_2_final/tables/10_recommendation_summary.csv,fcf2ef23e957a65c45d4aa51b9b223e7064d97819efecfa6a044c749e85a3baf,"recommendation_type == ""recommended_installed_capacity""",state_of_health_pct,80,80,%,168-hour North-West model,src/problem_3_1/question_2_battery_siting_sizing.py::verify_lifetime_recommendation lines 902-914,Q2 lifetime_eol row; 10-90% SOC and 80% EOL SoH,"solve_ok, unserved_ok, benchmark_success and no simultaneous operation",
EV-Q2-006,CLM-Q2-001,Q2,MODEL_DERIVED,Minimum SOC,results/problem_3_1/question_2_final/tables/10_recommendation_summary.csv,fcf2ef23e957a65c45d4aa51b9b223e7064d97819efecfa6a044c749e85a3baf,"recommendation_type == ""recommended_installed_capacity""",soc_min_pct,10,10,%,168-hour North-West model,src/problem_3_1/question_2_battery_siting_sizing.py::verify_lifetime_recommendation lines 902-914,Q2 lifetime_eol row; 10-90% SOC and 80% EOL SoH,"solve_ok, unserved_ok, benchmark_success and no simultaneous operation",
