parameter,value,npv_eur,method
capex_multiplier,0.8,-74612089.32148714,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.0,-90907513.8551756,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.2,-107202938.38886406,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,0.8,-89537080.7075225,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.0,-90907513.8551756,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.2,-92277947.00282869,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,0.7,-89639493.32239184,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.0,-90907513.8551756,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.3,-92175534.38795935,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.04,-101882051.92228252,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.07,-90907513.8551756,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.1,-83447325.8612763,fixed_dispatch_and_replacement_schedule_financial_revaluation
