parameter,value,npv_eur,method
capex_multiplier,0.8,-66364194.98868617,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.0,-80798962.35997023,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.2,-95233729.7312543,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,0.8,-79660077.45964652,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.0,-80798962.35997023,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.2,-81937847.26029392,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,0.7,-79487556.00572716,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.0,-80798962.35997023,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.3,-82110368.71421331,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.04,-90948557.86729378,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.07,-80798962.35997023,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.1,-73903326.05194679,fixed_dispatch_and_replacement_schedule_financial_revaluation
