parameter,value,npv_eur,method
capex_multiplier,0.8,-75568974.41907516,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.0,-91989229.01605971,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.2,-108409483.61304422,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,0.8,-90550338.90603589,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.0,-91989229.01605971,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.2,-93428119.12608354,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,0.7,-90681817.43954703,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.0,-91989229.01605971,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.3,-93296640.59257235,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.04,-103092882.50812843,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.07,-91989229.01605971,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.1,-84439840.22020559,fixed_dispatch_and_replacement_schedule_financial_revaluation
